entity,indicator,date,value
Ireland,Weekly new hospital admissions,2020-04-26,274.9802008061654
Ireland,Weekly new ICU admissions,2020-04-26,30.773957490942692
Ireland,Weekly new hospital admissions,2020-05-03,207.47603598732334
Ireland,Weekly new ICU admissions,2020-05-03,23.824999347826598
Ireland,Weekly new hospital admissions,2020-05-10,136.00103794384353
Ireland,Weekly new ICU admissions,2020-05-10,14.890624592391623
Ireland,Weekly new hospital admissions,2020-05-24,74.45312296195813
Ireland,Weekly new ICU admissions,2020-05-24,2.978124918478324
Ireland,Weekly new hospital admissions,2020-05-31,45.664582083334324
Ireland,Weekly new ICU admissions,2020-05-31,10.919791367753858
Ireland,Weekly new hospital admissions,2020-06-07,25.810415960145487
Ireland,Weekly new ICU admissions,2020-06-07,0.9927083061594377
Ireland,Weekly new hospital admissions,2020-06-14,12.90520798007274
Ireland,Weekly new ICU admissions,2020-06-14,2.978124918478324
Ireland,Weekly new hospital admissions,2020-06-21,4.963541530797209
Ireland,Weekly new ICU admissions,2020-06-21,0.9927083061594377
Ireland,Weekly new hospital admissions,2020-06-28,6.948958143116091
Ireland,Weekly new ICU admissions,2020-06-28,0.9927083061594377
Ireland,Weekly new hospital admissions,2020-07-26,6.948958143116091
Ireland,Weekly new ICU admissions,2020-07-26,0.9927083061594377
Ireland,Weekly new hospital admissions,2020-08-02,7.941666449275533
Ireland,Weekly new ICU admissions,2020-08-02,2.978124918478324
Ireland,Weekly new hospital admissions,2020-08-09,8.934374755434975
Ireland,Weekly new ICU admissions,2020-08-09,1.9854166123188808
Ireland,Weekly new hospital admissions,2020-08-16,12.90520798007274
Ireland,Weekly new ICU admissions,2020-08-16,2.978124918478324
Ireland,Weekly new hospital admissions,2020-08-23,28.78854087862381
Ireland,Weekly new ICU admissions,2020-08-23,1.9854166123188808
Ireland,Weekly new hospital admissions,2020-08-30,28.78854087862381
Ireland,Weekly new ICU admissions,2020-08-30,1.9854166123188808
Ireland,Weekly new hospital admissions,2020-09-06,30.773957490942692
Ireland,Weekly new ICU admissions,2020-09-06,4.963541530797209
Ireland,Weekly new hospital admissions,2020-09-13,44.67187377717487
Ireland,Weekly new ICU admissions,2020-09-13,9.927083061594418
Ireland,Weekly new hospital admissions,2020-09-20,78.42395618659589
Ireland,Weekly new ICU admissions,2020-09-20,5.956249836956648
Ireland,Weekly new hospital admissions,2020-09-27,81.40208110507422
Ireland,Weekly new ICU admissions,2020-09-27,16.87604120471051
Ireland,Weekly new hospital admissions,2020-10-04,113.16874690217637
Ireland,Weekly new ICU admissions,2020-10-04,19.854166123188836
Ireland,Weekly new hospital admissions,2020-10-11,187.6218698641345
Ireland,Weekly new ICU admissions,2020-10-11,14.890624592391623
Ireland,Weekly new hospital admissions,2020-10-18,234.27916025362825
Ireland,Weekly new ICU admissions,2020-10-18,21.839582735507715
Ireland,Weekly new hospital admissions,2020-10-25,284.9072838677598
Ireland,Weekly new ICU admissions,2020-10-25,23.824999347826598
Ireland,Weekly new hospital admissions,2020-11-01,226.33749380435273
Ireland,Weekly new ICU admissions,2020-11-01,16.87604120471051
Ireland,Weekly new hospital admissions,2020-11-08,204.497911068845
Ireland,Weekly new ICU admissions,2020-11-08,12.90520798007274
